año,Departamento,Municipio,Lugar Decomiso,Situacion,Autoridad que incauto,nom tipo especie,Nombre comun,Nombre cientifico,Cantidad
2008,RISARALDA,PEREIRA,TRAMO URBANO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,MARTINICA,PORPHYRULA MARTINICA (LINNAEUS),1
2008,RISARALDA,PEREIRA,AVENIDA DE LAS AMERICAS,ENTREGA VOLUNTARIA,CARDER,ARACNIDOS,TARANTULA,ARAÑA POLLERA,1
2008,RISARALDA,LA VIRGINIA,BALSILLAS,ENTREGA VOLUNTARIA,CARDER,AVES,CHOLIBA,OTUS CHOLIBA,1
2008,RISARALDA,PUEBLO RICO,SANTA CECILIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,LORA CABECIAZUL,PIONUS MENSTRUUS,2
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,VIA CERRITOS,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,LA VIRGINIA,LIBERTADORES,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,TRAMO URBANO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,DOSQUEBRADAS,EL CHAQUIRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,CORALES,ENTREGA VOLUNTARIA,CARDER,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA,1
2008,RISARALDA,PEREIRA,VDA CONGOLO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,GUACAMAYEJA,ARA SEVERA,1
2008,RISARALDA,PEREIRA,VDA CONGOLO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,GUACAMAYA AZUL AMARILLA,ARA ARARAUNA,1
2008,RISARALDA,PEREIRA,ARABIA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,GUACAMAYA BANDERA,ARA MACAO,1
2008,RISARALDA,PEREIRA,ARABIA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,LORA FRENTIAMARILLA,AMAZONA OCHROCEPHALA,1
2008,RISARALDA,PEREIRA,ARABIA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,GUACAMAYA AZUL AMARILLA,ARA ARARAUNA,2
2008,RISARALDA,PEREIRA,ARABIA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,LORA FRENTIAMARILLA,AMAZONA AMAZONICA,1
2008,RISARALDA,PEREIRA,AVENIDA DE LAS AMERICAS,ENTREGA VOLUNTARIA,CARDER,AVES,MOCHO ORELHUDO,RHINOPTYNX CLAMATOR,1
2008,RISARALDA,MISTRATO,CENTRO POBLADO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,QUINCHÍA,LA CEIBA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NOVEMCINCTUS,DASYPUS NOVEMCINCTUS LINNAEUS,1
2008,RISARALDA,QUINCHÍA,LA CEIBA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NASUA,NASUA NASUA,1
2008,RISARALDA,PEREIRA,SAMARIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,LA HONDA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,VILLA CECILIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,DOSQUEBRADAS,LA ROMELIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,AVENIDA DEL RIO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,TRAMO URBANO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,TRAMO URBANO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,PUERCO ESPIN,COENDU SP.,1
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,BOA,BOA CONSTRICTOR,1
2008,RISARALDA,SANTUARIO,LA BRETAÑA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,LORA CABECIAZUL,PIONUS MENSTRUUS,1
2008,RISARALDA,PEREIRA,AVENIDA DEL RIO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
